episode_number,title,full_title,category,youtube_channel_search_url,youtube_url_TO_FILL
,MI for Substance Use Disorders,MI for Substance Use Disorders,Foundations & the psychiatric interview,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+MI+for+Substance+Use+Disorders,
,Major Depression 101: A Patient's Guide,Major Depression 101: A Patient's Guide,Psychotherapy process — transference & dynamics,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Major+Depression+101%3A+A+Patient%27s+Guide,
,Means Reduction Counseling,Means Reduction Counseling,Mood & bipolar; suicide,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Means+Reduction+Counseling,
,Mental Health and Aging,Mental Health and Aging,Mood & bipolar; suicide,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Mental+Health+and+Aging,
,Motivational Interviewing in Psychiatric Settings,Motivational Interviewing in Psychiatric Settings,Foundations & the psychiatric interview,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Motivational+Interviewing+in+Psychiatric+Settings,
,OCD 101: More Than Being Neat,OCD 101: More Than Being Neat,Psychotherapy process — transference & dynamics,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+OCD+101%3A+More+Than+Being+Neat,
,Panic Disorder: Comprehensive Diagnosis and Treatment,Panic Disorder: Comprehensive Diagnosis and Treatment,Foundations & the psychiatric interview,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Panic+Disorder%3A+Comprehensive+Diagnosis+and+Treatment,
,Pediatric OCD: Recognition and Treatment,Pediatric OCD: Recognition and Treatment,"Anxiety, OCD & stress",https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Pediatric+OCD%3A+Recognition+and+Treatment,
,Postpartum Depression Recognition and Treatment,Postpartum Depression Recognition and Treatment,Foundations & the psychiatric interview,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Postpartum+Depression+Recognition+and+Treatment,
,Postpartum Psychosis - Emergency Recognition and Treatment,Postpartum Psychosis - Emergency Recognition and Treatment,Psychosis & schizophrenia,https://www.youtube.com/@psychiatrypsychotherapy6939/search?query=Psychiatry+Psychotherapy+Podcast+Postpartum+Psychosis+-+Emergency+Recognition+and+Treatment,
