clean_title,category,section,disposition,local_file,apa_source_url,bytes,superseded_by
CCM-for-MH-One-Pager.pdf,Collaborative and integrated care,13_Faculty_Resources (CoCM),SURFACE,files/b477660852_CCM-for-MH-One-Pager.pdf,https://www.psychiatry.org/File%20Library/Psychiatrists/Advocacy/Medicaid-Payment-Collaborative-Care-Model/CCM-for-MH-One-Pager.pdf,221189,
Integration-of-Mental-Health-Into-Primary-Care-The-Collaborative-Care-Model.pptx,Collaborative and integrated care,13_Faculty_Resources (CoCM),SURFACE,files/ee09989b71_Integration-of-Mental-Health-Into-Primary-Care-The-Collaborative-Care-Model.pptx,https://www.psychiatry.org/File%20Library/Psychiatrists/Practice/Professional-Topics/Integrated-Care/Private/Integration-of-Mental-Health-Into-Primary-Care-The-Collaborative-Care-Model.pptx,661260,
DSM5-Proposal-Submissions-General-Guidance.pdf,Other APA public document,13_Faculty_Resources (background),CATALOG,files/35c60b1a34_DSM5-Proposal-Submissions-General-Guidance.pdf,https://www.psychiatry.org/File%20Library/Psychiatrists/Practice/DSM/DSM5-Proposal-Submissions-General-Guidance.pdf,849352,
CCM-for-MH-Rigorous-Research-Meets-Real-World-Success.pdf,Collaborative and integrated care,13_Faculty_Resources (CoCM),CATALOG,files/a2e29cccef_CCM-for-MH-Rigorous-Research-Meets-Real-World-Success.pdf,https://www.psychiatry.org/File%20Library/Psychiatrists/Advocacy/Medicaid-Payment-Collaborative-Care-Model/CCM-for-MH-Rigorous-Research-Meets-Real-World-Success.pdf,743300,
Medicaid-Innovation-State-Payment-Care-Reform-Programs.pdf,Collaborative and integrated care,13_Faculty_Resources (CoCM),CATALOG,files/b28b9de1c5_Medicaid-Innovation-State-Payment-Care-Reform-Programs.pdf,https://www.psychiatry.org/File%20Library/Psychiatrists/Advocacy/Medicaid-Payment-Collaborative-Care-Model/Medicaid-Innovation-State-Payment-Care-Reform-Programs.pdf,192048,
Approved-Section-1115-Waivers.pdf,Collaborative and integrated care,13_Faculty_Resources (CoCM),CATALOG,files/9adbf56ddf_Approved-Section-1115-Waivers.pdf,https://www.psychiatry.org/File%20Library/Psychiatrists/Advocacy/Medicaid-Payment-Collaborative-Care-Model/Approved-Section-1115-Waivers.pdf,378101,
Collaborative-Care-Draft-Legislation-for-States.docx,Collaborative and integrated care,13_Faculty_Resources (CoCM),CATALOG,files/f0efabfeb6_Collaborative-Care-Draft-Legislation-for-States.docx,https://www.psychiatry.org/File%20Library/Psychiatrists/Practice/Professional-Topics/Integrated-Care/Collaborative-Care-Draft-Legislation-for-States.docx,35670,
Case-Study-Collaborative-Care-Model-NewYork.pdf,Collaborative and integrated care,13_Faculty_Resources (CoCM),CATALOG,files/7dd965698c_Case-Study-Collaborative-Care-Model-NewYork.pdf,https://www.psychiatry.org/getmedia/b684932c-c994-4125-abee-165d7082ed1a/Case-Study-Collaborative-Care-Model-NewYork.pdf,334370,
APA-Best-Practice-for-Reimbursing-CoCM-in-Medicaid.pdf,Collaborative and integrated care,13_Faculty_Resources (CoCM),CATALOG,files/3ac72a3bf2_APA-Best-Practice-for-Reimbursing-CoCM-in-Medicaid.pdf,https://www.psychiatry.org/getmedia/3b44bcf3-cd09-4efc-8b46-12a1d17d4d81/APA-Best-Practice-for-Reimbursing-CoCM-in-Medicaid.pdf,89867,
Draft-Language-State-Plan-Amendment-for-1115-Waiver.pdf,Collaborative and integrated care,13_Faculty_Resources (CoCM),CATALOG,files/3c71014574_Draft-Language-State-Plan-Amendment-for-1115-Waiver.pdf,https://www.psychiatry.org/File%20Library/Psychiatrists/Advocacy/Medicaid-Payment-Collaborative-Care-Model/Draft-Language-State-Plan-Amendment-for-1115-Waiver.pdf,304741,
Case-Study-Collaborative-Care-Model-WashingtonState.pdf,Collaborative and integrated care,13_Faculty_Resources (CoCM),CATALOG,files/1f3139c1ee_Case-Study-Collaborative-Care-Model-WashingtonState.pdf,https://www.psychiatry.org/getmedia/491b2f33-1443-4fae-a7aa-bab1e43d3ac0/Case-Study-Collaborative-Care-Model-WashingtonState.pdf,169604,
ICD10-Changes-October-2020.pdf,Other APA public document,13_Faculty_Resources (background),CATALOG,files/624b05321b_ICD10-Changes-October-2020.pdf,https://www.psychiatry.org/File%20Library/Psychiatrists/Practice/DSM/ICD10-Changes-October-2020.pdf,176882,
Case-Study-Collaborative-Care-Model-Maryland.pdf,Collaborative and integrated care,13_Faculty_Resources (CoCM),CATALOG,files/e9623f175b_Case-Study-Collaborative-Care-Model-Maryland.pdf,https://www.psychiatry.org/getmedia/04738b26-a484-42ff-b517-9f2939d68bb7/Case-Study-Collaborative-Care-Model-Maryland.pdf,227001,
ICD10-Changes-October-2021.pdf,Other APA public document,13_Faculty_Resources (background),STALE,files/ccc825ef11_ICD10-Changes-October-2021.pdf,https://www.psychiatry.org/File%20Library/Psychiatrists/Practice/DSM/ICD10-Changes-October-2021.pdf,175498,
